,2291.0,164.0,164.0,164.0,164.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,1841.0,1841.0,1841.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,1841.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,1841.0,1841.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,1841.0,1841.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,1841.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,1841.0,164.0,164.0,1841.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,1841.0,164.0,1841.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1841.0,1841.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1541.0,164.0,1541.0,1541.0,164.0,164.0,164.0,164.0,164.0,1841.0,1841.0,1841.0,1841.0,1841.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,421.0,1849.0,1849.0,1849.0,890.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,1233.0,1841.0,164.0,421.0,421.0,421.0,421.0,421.0,164.0,164.0,164.0,164.0,421.0,421.0,1841.0,421.0,421.0,1841.0,164.0,164.0,421.0,164.0,421.0,1541.0,1541.0,164.0,164.0,1841.0,164.0,164.0,1841.0,1541.0,1841.0,421.0,421.0,1841.0,1841.0,164.0,164.0,1841.0,164.0,164.0,164.0,164.0,1841.0,421.0,164.0,421.0,1541.0,909.0,2130.0,2130.0,2130.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,2130.0,1190.0,890.0,1190.0,2268.0,2268.0,157.0,157.0,157.0,1233.0,157.0,1511.0,157.0,157.0,157.0,157.0,2268.0,157.0,2268.0,157.0,157.0,157.0,157.0,157.0,157.0,1233.0,1233.0,157.0,2268.0,157.0,2272.0,1849.0,1849.0,2272.0,2130.0,2130.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,1233.0,421.0,421.0,421.0,421.0,909.0,2268.0,164.0,157.0,157.0,1841.0,1233.0,2272.0
1988-01-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.5,3.8,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,1.3,,,0.0,,0.0,0.0,2.5,0.0,5.1,,,,2.5,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,
1988-01-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.5,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,2.5,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,
1988-01-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,,2.8,3.3,0.0,,0.0,0.5,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,2.5,0.0,,,,0.0,,,,,10.2,,0.0,0.0,0.0,,,0.0,,0.0,,,
1988-01-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.5,0.0,,,,5.6,0.0,12.7,0.0,2.0,,,3.8,1.8,,,,,3.6,9.4,,2.5,3.8,0.0,,,,,0.0,0.0,,,0.0,,0.0,5.1,0.0,2.5,2.5,,,,2.5,,,,,0.0,,12.7,0.0,0.0,,,0.0,,3.6,,,
1988-01-05,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,6.6,,,,0.8,,,,,,0.0,,0.0,,,0.0,2.8,,,0.5,,1.3,,,,0.5,,0.0,3.0,1.3,,,,0.0,0.0,,0.0,0.8,0.5,0.0,1.5,,2.5,,3.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,9.9,,,,4.3,4.8,3.6,3.0,4.8,,,8.1,3.6,,,,,1.3,3.8,,6.6,5.1,7.9,,,,,0.0,1.3,,,5.1,,0.0,7.6,5.1,5.1,7.6,,,,20.3,,,,,0.0,,0.0,15.2,6.9,,,2.3,,4.6,,,
1988-01-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,3.3,,,,,,6.4,,2.5,,,22.1,4.6,,,0.3,,0.0,,,,0.0,,7.9,7.6,8.1,,,,7.6,2.3,,3.3,0.0,1.5,0.0,1.5,,12.7,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,3.8,,,,6.1,10.7,10.2,0.0,10.4,,,4.8,4.1,,,,,5.3,1.0,,0.0,3.0,4.6,,,,,17.5,0.0,,,0.0,,0.0,10.2,7.6,2.5,2.5,,,,5.1,,,,,0.0,,2.5,2.5,6.1,,,0.8,,7.1,,,
1988-01-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.3,,,,1.0,,,1.5,0.8,,,0.0,0.0,0.0,,,,0.5,0.0,2.8,0.0,1.0,,,1.3,2.3,,,,,0.3,1.5,,1.0,9.1,0.8,,,,,1.3,1.0,,,0.0,,0.0,17.8,0.0,2.5,10.2,,,,5.1,,,,,2.5,,0.0,0.0,0.0,,,0.0,,0.0,,,
1988-01-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.8,,,,0.0,,,1.3,0.0,0.0,,0.0,0.0,0.0,,,,4.6,2.8,2.0,0.0,5.3,,,3.3,4.3,,,,,4.1,3.6,,1.8,11.7,3.8,,,,,5.6,0.8,,,2.5,,5.1,0.0,5.1,2.5,0.0,,,,7.6,,,,,0.0,,0.0,0.0,0.0,,,0.0,,2.0,,,
1988-01-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.3,,,,0.0,,,0.0,0.0,0.0,,0.0,0.3,0.0,,,,3.0,0.0,0.5,0.0,0.0,,,1.0,6.6,,,,,1.8,7.4,,0.0,16.8,1.0,,,,,2.0,2.5,,,5.1,,2.5,50.8,7.6,10.2,30.5,,,,20.3,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,
