,latitude,longitude
2291.0,30.55,-115.93
164.0,32.3471,-110.9996
164.0,31.9161,-110.2222
164.0,31.9988,-110.2797
164.0,31.7494,-110.0795
421.0,35.0938,-111.6954
421.0,35.2432,-112.1951
421.0,35.233,-111.6687
421.0,35.1904,-111.6742
421.0,35.159,-111.6686
421.0,35.1934,-112.1765
421.0,35.256,-111.7404
421.0,35.2306,-111.6731
421.0,35.206,-111.638
421.0,35.1704,-111.6815
421.0,35.2006,-111.6424
421.0,35.1554,-111.6685
421.0,35.1632,-111.6667
421.0,35.1739,-111.6805
421.0,35.2402,-111.7078
421.0,35.1952,-111.6293
421.0,35.1006,-111.6998
421.0,35.1639,-111.6833
421.0,35.2028,-111.6336
421.0,34.948,-111.6302
421.0,35.0844,-111.6623
421.0,34.9425,-111.6479
421.0,35.1647,-111.6831
421.0,35.1966,-111.639
421.0,35.1848,-111.6763
164.0,32.1883,-110.8442
164.0,32.3477,-110.9802
164.0,32.3026,-110.9924
164.0,32.2599,-110.9331
164.0,32.2156,-110.8936
164.0,32.2534,-110.8023
1841.0,31.959,-110.4784
164.0,32.1366,-110.7679
1841.0,31.9426,-110.78
1841.0,32.0255,-111.2749
1841.0,31.9525,-110.763
164.0,32.2168,-110.8825
164.0,32.2691,-110.9517
164.0,32.2416,-110.8835
164.0,32.3316,-111.0353
1841.0,31.9763,-110.7068
164.0,32.2871,-110.7949
164.0,32.2591,-111.0363
1841.0,32.1389,-111.0382
164.0,32.4633,-110.9583
164.0,32.2376,-110.9375
164.0,32.2284,-110.9119
1841.0,32.1213,-111.1216
164.0,32.0881,-110.6951
164.0,32.3225,-111.1774
164.0,32.2295,-110.7833
164.0,32.318,-111.031
164.0,32.3827,-111.0379
164.0,32.3021,-111.0752
164.0,32.2536,-110.9075
164.0,32.2144,-110.929
164.0,32.2944,-110.835
164.0,32.3147,-110.9624
164.0,32.3633,-111.0644
1841.0,32.1646,-111.1187
164.0,32.2763,-110.9904
164.0,32.2861,-111.0622
164.0,32.2662,-110.8477
164.0,32.5106,-110.8676
164.0,32.3985,-110.9802
164.0,32.4177,-110.9475
164.0,32.4609,-110.9572
164.0,32.2754,-110.7845
164.0,32.2688,-110.7416
164.0,32.3511,-110.9631
164.0,32.224,-110.9942
1841.0,32.1752,-111.1361
164.0,32.0736,-110.6937
164.0,32.2407,-110.9317
164.0,32.2261,-110.7984
164.0,32.4639,-110.9542
164.0,32.1711,-110.801
164.0,32.2009,-110.7691
164.0,32.4749,-110.894
1841.0,31.8775,-110.9921
1841.0,31.8906,-110.9314
1841.0,32.124,-111.0387
164.0,32.2795,-110.783
164.0,32.4355,-111.0124
164.0,32.1451,-110.9676
1841.0,32.4251,-111.319
164.0,32.2312,-110.7657
164.0,32.3933,-110.9819
164.0,32.2403,-110.9648
164.0,32.2869,-110.7466
